number,class,clearance_level,description,image_url,,,,,,,
162,Euclid,2," SCP-162 is a mass of fish hooks, fish line, needles, scissors, and other sharp objects in a rough ball shape close to 2.4 m (8 ft) in width and 2.1 m (7 ft) in height. After being in SCP-162's vicinity, subjects have reported feeling drawn to the object in order to touch it. This desire can extend for several weeks after seeing the item, becoming an obsession in many cases. The ""draw"" increases the more SCP-162 is observed, and subjects will become violent towards anyone attempting to restrain or remove them from SCP-162.",https://scp-wiki.wdfiles.com/local--files/scp-162/scp162.jpg,,,,,,,
163,Safe,1," SCP-163 is a sapient organism of extraterrestrial origin. When standing, it is 2 m tall and 1.5 m wide, the bulk of the body being suspended 50 cm from the ground. The body is roughly cylindrical with a circular mouth at the bottom, the equivalent of a head at the top, and eight three-jointed legs arranged radially around the equator. SCP-163 also has a series of specialized limbs, listed here:",,,,,,,,
164,Euclid,2," SCP-164 is a strain of cancerous cells that causes sarcoma-like tumors in host bodies. While cell DNA appears to be primarily derived from human DNA, the cells now effectively exist as unicellular, asexually-reproducing parasites. Several characteristics make SCP-164 remarkable:",,,,,,,,
165,Keter,3," The organic component of SCP-165 resembles that of typical parasitic mites, seven hundred fifty (750) micrometers in length, with eight (8) legs and a genetic structure similar to the house dust mite. The main difference is the hermit-crab-like behavior of attaching grains of sand to its back. It is unknown what purpose the sand serves, but the massive colony of SCP-165 numbers in the hundreds of billions to possibly trillions, creating a rather large dune.",http://scp-wiki.wdfiles.com/local--files/scp-165/165-1.png,,,,,,,
166,Euclid,2," SCP-166 is a European female human in its late teens with ungulate features; possessing antlers, hooved feet, and a short tail reminiscent of  Rangifer tarandus  (Common reindeer). Despite these obvious abnormalities, DNA analysis reveals no abnormal genetic traits.",,,,,,,,
167,Safe,1," SCP-167 is a cube measuring approximately 10 meters on its edge, created from an unidentified shiny white-plastic polymer. Affixed to one of the faces of the cube is a large metal door. It is unknown if this door is part of the original SCP, or if it was affixed by someone else before the object was acquired by the SCP Foundation. The interior dimensions of this cube are identical to the exterior, minus several centimeters for the width of the cube — except that two of the remaining three walls each have doorways in them. These doorways lead directly to identical rooms, each with two more doorways leading to more identical rooms. This pattern continues for as far as the research teams have been able to determine. The placement of these doorways appears to be random; no pattern has been found that explains which two of the three remaining walls have doors.",,,,,,,,
168,Safe,1," Found resting on a desk during clearance of the condemned ¦¦¦¦¦¦ Elementary School building in 199¦, SCP-168 is a Hewlett-Packard brand graphing calculator, model #HP-28C. Upon initial inspection, it was discovered that the name “Eric” was carved into the inside of the removable casing. However, upon inputting a simple equation (6÷3) and pressing the “=” button, the screen of the device went blank for 3 minutes and 34 seconds, after which the “alternate key” function engaged, displaying the message; “WHAT TIME IS IT?”",,,,,,,,
169,Keter,3," SCP-169 is surmised to be a marine arthropod of enormous size, known as the ""Leviathan"" by generations of sailors and oral history. Presumed at first to be a myth, SCP-169 was detected on ¦¦/¦¦/19¦¦ by Mobile Task Force Gamma-6 during an investigation of paranormal activity around the ¦¦¦¦¦ ¦¦¦¦¦¦¦¦¦ archipelago (coordinates ¦¦°¦¦'S ¦¦°¦¦'W). During ?-6's investigation, Dr. ¦¦¦¦ ¦¦¦¦¦¦¦¦ [?6-0912] discovered the archipelago to have moved at least three (3) kilometers from its original location. Though initially Dr. ¦¦¦¦¦¦¦¦ believed this motion to be due to unusually-quick continental drift, a reconnaissance mission performed by the USS ¦¦¦¦¦¦¦¦ revealed the archipelago to be the protrusions of rock-like plates covering an enormous organic mass. The Foundation was brought in immediately to begin threat management.",,,,,,,,
170,Safe,1," SCP-170 appears to be a standard tube of superglue, in a yellow tube 13 cm long. There is no manufacturer information or any other text on the outside of the container, apart from the word 'SUPERGLUE' printed in bold letters on the front.",https://scp-wiki.wdfiles.com/local--files/scp-170/xray.jpg,,,,,,,
171,Euclid,2," Originally, SCP-171 was thought to be a colony of microscopic organisms similar to  SCP-968  or  SCP-165 , but further investigations revealed SCP-171 to be a single entity spanning 300 square meters when first encountered. SCP-171 is a web-like matrix of small, fine tendrils of neurons, mucous glands, and muscle fibers suspended in a frothy foam of its own creation. It is not capable of self-locomotion and does not actively attack or feed on other living organisms; rather, it attempts to form a symbiotic relationship with all organisms it comes into contact with.",,,,,,,,
172,Euclid,2," SCP-172 appears to be a human being, 34 years of age, 185 cm (6 ft 1 in) tall, black hair and mustache, 175.5 kg (386 lb), and of Russian descent. SCP-172's personality is very friendly and intelligent, if somewhat dull and repetitive. SCP-172 prefers dress from the 1860s, and always wears a large, ornate key on a long necklace. SCP-172 has never identified itself by any name, and is not upset by being referred to by its designation number.",,,,,,,,
173,Euclid,2," Moved to Site-19 1993. Origin is as of yet unknown. It is constructed from concrete and rebar with traces of Krylon brand spray paint. SCP-173 is animate and extremely hostile. The object cannot move while within a direct line of sight. Line of sight must not be broken at any time with SCP-173. Personnel assigned to enter container are instructed to alert one another before blinking. Object is reported to attack by snapping the neck at the base of the skull, or by strangulation. In the event of an attack, personnel are to observe Class 4 hazardous object containment procedures.",,,,,,,,
174,,4," SCP-174 is a wooden ventriloquial figure measuring 53 cm from head to toe, with somewhat ragged clothing and slight damage to several sections. Judging by the item's style and state of repair, it dates from the early 20th Century. The eyes and mouth of SCP-174 can be manipulated by means of a mechanism inside the figure.",,,,,,,,
175,Safe,1," When not “active,” SCP-175 resembles a yellowed piece of parchment, slightly larger than a standard piece of paper. The edges are torn, and it appears weathered and brittle. However, SCP-175 is actually quite supple and is indestructible despite its worn appearance, having resisted all attempts to remove pieces for testing.",,,,,,,,
176,Euclid,2," SCP-176 is an abandoned chemical factory situated near [DATA EXPUNGED]. The building consists of a factory floor and an observation room on the second floor, separated from the main room by one-way mirrors. There are three entrances to the building:",https://scp-wiki.wdfiles.com/local--files/scp-176/scp176.jpg,,,,,,,
